#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2026-03-02T07:55:47 [V7.5.4]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-03-02T07:55:47	  Query execution date
#INFO	request=https://vizier.u-strasbg.fr/viz-bin/asu-tsv?-source=VII%2F290%2Fcatalog&-out=Name%2CRAJ2000%2CDEJ2000%2Cz%2CType%2CRmag&-out.max=200000	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.5.4	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_7290
#Name: VII/290
#Title: The Million Quasars (Milliquas) catalogue, version 7.2 (Flesch, 2021)
#INFO	ivoid=ivo://cds.vizier/vii/290	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/vii/290	    IVOID of underlying data collection
#INFO	creator=Flesch E.W.	    First author or institution
#INFO	cites=bibcode:2015PASA...32...10F	    Article or Data origin sources
#INFO	journal=PASA	    Journal name
#INFO	original_date=2015	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/VII/290	    Dataset landing page
#INFO	publication_date=2024-02-13	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	VII_290_catalog:
#Name: VII/290/catalog
#Title: The catalogue (v7.2), 30-April-2021
#Column	Name	(A25)	ID from the literature, or J2000 (2)	[ucd=meta.id;meta.main]
#Column	RAJ2000	(F11.7)	Right ascension J2000 (degrees) (1)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(F11.7)	Declination J2000 (degrees) (1)	[ucd=pos.eq.dec;meta.main]
#Column	z	(F6.3)	? Redshift from the literature or estimated (7)	[ucd=src.redshift]
#Column	Type	(A4)	Classification of object, and associations (3)	[ucd=meta.code.class;src.class]
#Column	Rmag	(F5.2)	? Red optical magnitude (4)	[ucd=phot.mag;em.opt.R]
Name	RAJ2000	DEJ2000	z	Type	Rmag
SDSS J000003.18+050822.3 	000.0132702	+05.1395551	 1.791	Q   	21.54
WISEA J000003.18-074105.7	000.0133261	-07.6849780	 1.100	q   	19.20
SDSS J000003.20+013017.8 	000.0133287	+01.5049801	 1.696	Q   	20.60
SDSS J000003.24+113119.1 	000.0134854	+11.5219784	 0.482	Q   	20.49
WISEA J000003.27-594746.7	000.0136092	-59.7963073	 2.200	q   	19.80
SDSS J000003.27+001132.8 	000.0136303	+00.1924487	 1.485	Q   	22.09
SDSS J000003.28+105744.5 	000.0137005	+10.9623942	 1.819	Q   	21.11
WISEA J000003.29-025440.1	000.0137499	-02.9111180	 1.400	q   	17.04
WISEA J000003.30-553220.9	000.0138215	-55.5391770	 2.000	qX  	18.87
SDSS J000003.46+160253.6 	000.0143906	+16.0482260	 2.895	Q   	20.15
SDSS J000003.48+261739.8 	000.0145391	+26.2944046	 2.745	Q   	19.13
SDSS J000003.53+303413.3 	000.0147105	+30.5703840	 2.165	Q   	21.41
WISEA J000003.55-134829.6	000.0148807	-13.8083083	 0.600	q   	19.30
SDSS J000003.59+035418.9 	000.0149838	+03.9052808	 2.288	Q   	21.19
WISEA J000003.60+442911.7	000.0150176	+44.4865477	 0.400	qX  	19.61
SDSS J000003.61+344738.9 	000.0150765	+34.7941558	 1.955	Q   	21.97
WISEA J000003.63-680132.3	000.0151310	-68.0256600	 1.000	q   	18.99
SDSS J000003.65+041456.3 	000.0152337	+04.2489774	 2.735	Q   	20.92
WISEA J000003.80-220045.1	000.0158425	-22.0125529	 1.300	q   	17.34
SDSS J000003.82+250543.0 	000.0159365	+25.0952792	 1.448	Q   	21.20
SDSS J000003.82+061047.2 	000.0159912	+06.1798207	 2.268	Q   	21.40
SDSS J000003.87+034456.0 	000.0161605	+03.7489250	 0.990	Q   	20.90
SDSS J000003.87-024228.0 	000.0161646	-02.7077904	 1.781	Q   	21.65
SDSS J000003.91+213342.2 	000.0162962	+21.5617358	 0.798	Q   	21.34
WISEA J000003.89-310557.2	000.0163084	-31.0991967	 2.500	q   	19.61
SDSS J000003.94+263645.6 	000.0164458	+26.6126633	 2.180	Q   	19.50
WISEA J000003.93+440820.5	000.0165129	+44.1390719	 0.700	q   	20.35
SDSS J000003.98+295651.3 	000.0166066	+29.9475863	 2.132	Q   	19.57
SDSS J000003.99+355429.1 	000.0166270	+35.9081005	 1.630	Q   	19.24
SDSS J000004.02+143849.5 	000.0167606	+14.6471102	 2.527	Q   	20.95
SDSS J000004.10+335133.0 	000.0171021	+33.8591783	 2.007	Q   	18.97
WISEA J000004.13-524546.1	000.0172437	-52.7628211	 0.100	q   	18.75
SDSS J000004.14+110846.4 	000.0172545	+11.1462389	 1.210	Q   	21.62
SDSS J000004.16+255546.2 	000.0173674	+25.9295202	 1.227	Q   	20.39
SDSS J000004.20+314257.0 	000.0174841	+31.7158664	 1.400	qX  	20.31
WISEA J000004.27-481418.1	000.0178672	-48.2384179	 0.900	q   	18.69
SDSS J000004.34-041255.5 	000.0181173	-04.2154374	 1.851	Q   	20.09
J000004.53-552603.8      	000.0188858	-55.4343954	      	X   	
WISEA J000004.55+165221.2	000.0189990	+16.8725489	 0.700	q   	19.17
SDSS J000004.61+035122.4 	000.0192232	+03.8562315	 2.795	Q   	21.19
PGC 2012302              	000.0193503	+32.7867745	 0.108	N   	15.18
SDSS J000004.78-005434.6 	000.0199431	-00.9096349	 0.858	Q   	22.30
SDSS J000004.81-040548.3 	000.0200811	-04.0967643	 1.167	Q   	20.74
SDSS J000004.83+310357.9 	000.0201298	+31.0661067	 1.642	Q   	20.29
SDSS J000004.84+090343.2 	000.0201816	+09.0620243	 1.596	Q   	21.38
SDSS J000004.85+061803.7 	000.0202227	+06.3010454	 2.384	Q   	21.64
WISEA J000004.89+243658.5	000.0203691	+24.6162191	 0.500	qR  	19.42
WISEA J000004.94-633502.0	000.0205643	-63.5840234	 1.000	q   	19.74
SDSS J000004.96-001642.0 	000.0206959	-00.2783434	 2.879	Q   	21.90
SDSS J000005.02-003829.0 	000.0209286	-00.6413931	 2.662	Q   	21.08
SDSS J000005.06+085707.6 	000.0210710	+08.9521526	 1.564	Q   	19.38
WISEA J000005.06+441701.8	000.0210917	+44.2838539	 0.400	q   	20.21
WISEA J000005.07-071951.1	000.0211570	-07.3308870	 0.800	q   	22.53
J000005.07+443536.6      	000.0211617	+44.5935050	      	X   	19.67
SDSS J000005.10-104850.0 	000.0213044	-10.8139250	 2.715	Q   	20.85
SDSS J000005.13+083740.1 	000.0213735	+08.6278132	 2.001	Q   	19.51
SDSS J000005.16+093043.7 	000.0215791	+09.5121785	 1.205	Q   	19.76
SDSS J000005.19+263257.5 	000.0216462	+26.5493235	 1.422	Q   	20.72
SDSS J000005.19+134227.5 	000.0216512	+13.7076544	 3.009	Q   	21.20
WISEA J000005.24-483207.5	000.0218606	-48.5354235	 0.200	q   	20.05
WISEA J000005.36-075400.1	000.0223759	-07.9000425	 0.700	q   	19.42
SDSS J000005.39+212944.8 	000.0224700	+21.4957843	 1.205	Q   	20.14
J000005.41+393135.7      	000.0225435	+39.5266072	 1.500	R   	19.71
SDSS J000005.41+002638.0 	000.0225680	+00.4438956	 0.927	Q   	21.07
2QZ J000005.5-272510     	000.0227706	-27.4195301	 1.930	QR  	19.00
SDSS J000005.48+010804.2 	000.0228553	+01.1345059	 0.509	N   	21.05
SDSS J000005.48+234403.8 	000.0228628	+23.7344099	 1.744	Q   	21.41
SDSS J000005.49+310527.6 	000.0228965	+31.0910126	 0.286	QX  	17.93
SDSS J000005.51-053016.9 	000.0229700	-05.5047124	 2.089	Q   	20.75
SDSS J000005.51-012727.1 	000.0229766	-01.4575531	 2.274	Q   	21.50
SDSS J000005.56+334037.5 	000.0231832	+33.6771016	 1.698	Q   	17.91
WISEA J000005.56+205913.2	000.0231863	+20.9870094	 0.200	qR  	20.12
SDSS J000005.60-040216.1 	000.0233137	-04.0378275	 1.345	Q   	20.31
SDSS J000005.77-042007.1 	000.0240773	-04.3353234	 1.638	Q   	21.74
SDSS J000005.77+095556.8 	000.0240779	+09.9324875	 1.800	Q   	21.96
SDSS J000005.79+325003.3 	000.0241046	+32.8342627	 0.944	QX  	20.17
SDSS J000005.82+221718.4 	000.0242579	+22.2884489	 1.145	Q   	21.07
WISEA J000005.79-774831.5	000.0243006	-77.8087676	 0.900	q   	18.62
SDSS J000005.88+340252.3 	000.0244950	+34.0478897	 3.124	Q   	20.25
SDSS J000005.95+145310.1 	000.0248015	+14.8861585	 2.499	Q   	20.57
SDSS J000005.98+090535.5 	000.0249297	+09.0931948	 1.281	Q   	20.83
SDSS J000006.01-035334.1 	000.0250633	-03.8928222	 0.675	Q   	20.94
SDSS J000006.01+295101.9 	000.0250680	+29.8505189	 1.474	Q   	20.00
SDSS J000006.04+162304.2 	000.0251672	+16.3845070	 0.532	N   	20.94
SDSS J000006.11+193238.9 	000.0254958	+19.5441458	 1.020	Q   	20.21
SDSS J000006.11-041706.2 	000.0255208	-04.2850727	 1.668	Q   	22.02
SDSS J000006.15-003009.6 	000.0256383	-00.5026820	 2.172	Q   	21.97
SDSS J000006.15-055541.5 	000.0256643	-05.9282183	 0.574	Q   	20.35
SDSS J000006.17+250138.6 	000.0257160	+25.0274052	 1.446	Q   	21.08
SDSS J000006.23+275800.3 	000.0259521	+27.9667662	 1.361	Q   	19.46
SDSS J000006.23+073117.1 	000.0259706	+07.5214189	 1.318	Q   	22.35
J000006.26-353451.6      	000.0261131	-35.5810172	      	X   	19.25
SDSS J000006.27+082207.7 	000.0261575	+08.3688318	 1.735	Q   	20.32
SDSS J000006.30+031132.8 	000.0262669	+03.1924704	 1.982	Q   	21.20
SDSS J000006.37+052027.1 	000.0265551	+05.3408634	 2.105	Q   	21.46
SDSS J000006.38-065404.9 	000.0266175	-06.9013681	 3.250	Q   	21.67
SDSS J000006.41+223328.8 	000.0267247	+22.5580129	 1.544	Q   	20.84
SDSS J000006.42+324335.3 	000.0267417	+32.7264955	 2.210	Q   	21.50
SDSS J000006.42+005206.3 	000.0267710	+00.8684161	 1.449	Q   	21.26
SDSS J000006.52+282532.6 	000.0271835	+28.4257477	 1.656	Q   	20.36
SDSS J000006.53+003055.2 	000.0272231	+00.5153353	 1.823	Q   	20.49
SDSS J000006.58+272207.6 	000.0274294	+27.3687829	 2.427	Q   	21.90
WISEA J000006.56+480800.6	000.0274419	+48.1335078	 0.800	q   	19.28
WISEA J000006.68+103439.3	000.0278633	+10.5776081	 0.800	q   	22.08
SDSS J000006.68+225817.1 	000.0278689	+22.9714350	 0.670	qR  	19.91
SDSS J000006.71+301933.2 	000.0279818	+30.3259014	 2.028	Q   	21.42
WISEA J000006.72+131253.4	000.0281313	+13.2148604	 1.200	q   	19.64
SDSS J000006.78+310210.2 	000.0282507	+31.0361680	 1.388	Q   	20.00
SDSS J000006.78+062501.9 	000.0282703	+06.4171982	 1.783	Q   	20.21
WISEA J000006.84-681219.5	000.0285912	-68.2054983	 0.600	q   	20.12
SDSS J000006.94+180232.2 	000.0289459	+18.0423243	 1.208	Q   	20.31
WISEA J000007.04+360251.2	000.0293393	+36.0475579	 0.700	q   	20.32
WISEA J000007.03-162137.1	000.0293516	-16.3603252	 1.700	q   	20.11
SDSS J000007.05+060333.8 	000.0294829	+06.0593935	 1.546	Q   	20.75
SDSS J000007.10+264524.6 	000.0295972	+26.7568532	 2.213	Q   	22.09
J000007.15-250258.3      	000.0298070	-25.0495333	 2.500	X   	20.00
SDSS J000007.17+001853.0 	000.0299146	+00.3147414	 1.095	Q   	22.24
WISEA J000007.20-491105.9	000.0300173	-49.1850172	 1.100	q   	18.26
SDSS J000007.25+332616.0 	000.0302097	+33.4377783	 2.098	Q   	19.61
SDSS J000007.30+312138.0 	000.0304253	+31.3605607	 1.919	Q   	22.26
SDSS J000007.42+064350.6 	000.0309280	+06.7307315	 1.024	Q   	20.82
SDSS J000007.48+114206.7 	000.0311866	+11.7018911	 2.831	Q   	19.01
SDSS J000007.58+002943.2 	000.0316158	+00.4953568	 2.254	Q   	20.38
SDSS J000007.60+025738.8 	000.0316960	+02.9607990	 1.142	Q   	20.40
WISEA J000007.65-185557.1	000.0318766	-18.9325292	 0.400	q   	19.98
WISEA J000007.64-431014.5	000.0318841	-43.1707206	 0.300	q   	18.72
SDSS J000007.68+232139.1 	000.0320394	+23.3608962	 1.392	Q   	20.52
SDSS J000007.73-020206.4 	000.0322085	-02.0351143	 0.365	N   	18.78
SDSS J000007.76-011218.8 	000.0323590	-01.2052336	 0.964	Q   	21.52
MS 23575-6352            	000.0326230	-63.5930926	 0.136	QX  	16.58
SDSS J000007.89+015813.0 	000.0328913	+01.9702901	 1.121	Q   	20.36
SDSS J000007.89+354739.2 	000.0329073	+35.7942357	 1.574	Q   	19.82
WISEA J000007.91-380325.1	000.0329923	-38.0569954	 0.500	q   	20.92
J000007.99+652431.0      	000.0333230	+65.4086129	      	X   	17.20
SDSS J000008.03-002727.4 	000.0334607	-00.4576297	 2.181	Q   	22.61
SDSS J000008.09+015252.0 	000.0337452	+01.8811047	 2.226	Q   	21.08
J000008.13-603447.2      	000.0338889	-60.5797778	      	X   	
SDSS J000008.13+001634.6 	000.0339233	+00.2763063	 1.836	Q   	20.02
SDSS J000008.15+075841.3 	000.0339943	+07.9781488	 2.396	Q   	22.07
WISEA J000008.20-724605.6	000.0342351	-72.7682545	 2.100	q   	18.62
J000008.26-092916.2      	000.0344325	-09.4878402	 0.500	R   	19.75
WISEA J000008.26-752030.2	000.0345564	-75.3417727	 0.700	q   	19.69
J000008.31-471827.5      	000.0346639	-47.3076580	      	R   	19.37
WISEA J000008.32-431300.5	000.0347366	-43.2168084	 1.600	q   	19.42
SDSS J000008.35-035016.8 	000.0347928	-03.8380003	 1.760	Q   	19.21
SDSS J000008.45+022658.0 	000.0352431	+02.4494464	 0.428	A   	19.50
SDSS J000008.47+292344.2 	000.0353302	+29.3956378	 1.513	Q   	21.67
WISEA J000008.47+125033.5	000.0353431	+12.8426111	 1.500	qR  	18.62
SDSS J000008.49-021344.7 	000.0354139	-02.2291040	 0.540	N   	19.93
SDSS J000008.53+335809.5 	000.0355306	+33.9693307	 0.249	N   	17.35
WISEA J000008.57+231815.7	000.0357435	+23.3043770	 0.800	q   	19.81
SDSS J000008.60-101512.0 	000.0358639	-10.2533366	 1.615	Q   	22.33
WISEA J000008.68+143812.1	000.0362215	+14.6367084	 0.500	qX  	19.17
WISEA J000008.75+475858.8	000.0364684	+47.9830104	 1.000	q   	19.06
WISEA J000008.74+500315.5	000.0365035	+50.0542953	 0.300	qX  	17.02
SDSS J000008.84+233536.1 	000.0368664	+23.5933749	 2.022	Q   	21.93
J000008.91+243702.3      	000.0371389	+24.6173056	      	R   	22.64
SDSS J000009.00+302420.2 	000.0375160	+30.4056187	 2.033	Q   	20.47
WISEA J000009.01-141119.1	000.0375457	-14.1887382	 1.200	q   	20.61
SDSS J000009.04+100934.4 	000.0377043	+10.1595753	 2.463	Q   	21.70
WISEA J000009.05+300936.1	000.0377327	+30.1600299	 1.600	qR  	16.68
SDSS J000009.23-024215.3 	000.0384749	-02.7042544	 1.769	Q   	19.87
SDSS J000009.26+151754.5 	000.0386126	+15.2984830	 1.197	Q   	19.38
PSS J0000+2357           	000.0386162	+23.9545906	 4.030	Q   	19.36
SDSS J000009.27+020622.0 	000.0386473	+02.1061017	 1.432	Q   	19.46
SDSS J000009.27-044943.5 	000.0386582	-04.8287764	 2.364	Q   	21.40
SDSS J000009.31+263536.1 	000.0388223	+26.5933508	 1.154	Q   	20.47
SDSS J000009.31+350907.4 	000.0388421	+35.1520763	 1.786	Q   	20.21
J000009.34+135929.3      	000.0389167	+13.9914723	      	X   	22.25
SDSS J000009.34+292733.4 	000.0389321	+29.4592781	 1.064	Q   	21.12
SDSS J000009.38+135618.4 	000.0390939	+13.9384617	 2.239	QX  	18.44
SDSS J000009.42-102751.9 	000.0392839	-10.4644046	 1.852	Q   	18.97
SDSS J000009.48-044704.3 	000.0395145	-04.7845419	 1.371	Q   	18.99
WISEA J000009.50-583618.6	000.0396061	-58.6051449	 0.100	q   	19.52
SDSS J000009.60+052834.8 	000.0400112	+05.4763447	 1.759	Q   	20.33
SDSS J000009.64+080753.7 	000.0401744	+08.1315949	 1.796	Q   	19.33
WISEA J000009.65-163441.4	000.0402587	-16.5781771	 0.900	q   	17.39
SDSS J000009.66+055003.5 	000.0402610	+05.8343131	 1.023	Q   	21.36
2QZ J000009.6-311648     	000.0403254	-31.2799180	 1.727	Q   	18.81
SDSS J000009.70+123730.7 	000.0404602	+12.6251896	 2.481	Q   	20.10
SDSS J000009.72+014115.4 	000.0405282	+01.6876333	 1.007	Q   	21.75
SDSS J000009.79+354809.7 	000.0408239	+35.8027141	 2.535	Q   	21.25
WISEA J000009.90+482419.6	000.0412228	+48.4054702	 1.500	q   	19.26
2QZ J000009.8-305530     	000.0412430	-30.9248725	 1.787	Q   	18.74
SDSS J000009.90+002806.5 	000.0412809	+00.4684842	 1.901	Q   	21.98
WISEA J000009.95+474901.2	000.0414729	+47.8170190	 2.500	q   	19.61
SDSS J000010.02+212622.1 	000.0417499	+21.4395022	 1.737	Q   	21.14
GB6 23576+3039           	000.0420434	+30.9331711	 1.801	QR  	20.46
SDSS J000010.09+194729.4 	000.0420630	+19.7915028	 1.073	Q   	19.38
SDSS J000010.13+301729.1 	000.0422284	+30.2914168	 1.976	Q   	22.12
2QZ J000010.1-315950     	000.0423474	-31.9972538	 1.637	QX  	20.45
SDSS J000010.18+313846.1 	000.0424349	+31.6461837	 2.598	Q   	20.69
SDSS J000010.26+054748.8 	000.0427831	+05.7969214	 0.314	Q   	20.56
SDSS J000010.28-033604.6 	000.0428373	-03.6012893	 2.710	Q   	21.07
SDSS J000010.38-081514.6 	000.0433310	-08.2540974	 2.172	Q   	21.38
SDSS J000010.42-024739.9 	000.0434284	-02.7944256	 2.251	Q   	21.74
SDSS J000010.42-080844.5 	000.0434745	-08.1456921	 0.835	Q   	20.40
SDSS J000010.52-031854.6 	000.0438506	-03.3151781	 1.856	Q   	21.14
SDSS J000010.54+324929.6 	000.0439227	+32.8248939	 2.395	Q   	20.03
SDSS J000010.56+360221.9 	000.0440245	+36.0394287	 1.677	Q   	19.78
SDSS J000010.59+280822.0 	000.0441167	+28.1394648	 1.528	Q   	20.16
SDSS J000010.67-022755.1 	000.0444783	-02.4653241	 1.194	Q   	20.09
SDSS J000010.75-054320.0 	000.0447952	-05.7222110	 0.753	Q   	20.23
