#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2026-03-02T07:56:38 [V7.5.4]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-03-02T07:56:38	  Query execution date
#INFO	request=https://vizier.u-strasbg.fr/viz-bin/asu-tsv?-source=VII%2F289%2Fdr16q&-out=SDSS%2CRAJ2000%2CDEJ2000%2Cz&-out.max=120000	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.5.4	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_7289
#Name: VII/289
#Title: SDSS quasar catalog, sixteenth data release (DR16Q) (Lyke+, 2020)
#INFO	ivoid=ivo://cds.vizier/vii/289	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/vii/289	    IVOID of underlying data collection
#INFO	creator=Lyke B.W.	    First author or institution
#INFO	cites=bibcode:2020ApJS..250....8L	    Article or Data origin sources
#INFO	journal=ApJS	    Journal name
#INFO	original_date=2020	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/VII/289	    Dataset landing page
#INFO	publication_date=2021-03-01	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	VII_289_dr16q:
#Name: VII/289/dr16q
#Title: The SDSS quasar-only catalog from DR16 (DR16Q)
#Column	SDSS	(A18)	SDSS-DR16 designation (HHMMSS.ss+DDMMSS.s; J2000) (SDSS_NAME)	[ucd=meta.id;meta.main]
#Column	RAJ2000	(F10.6)	Right Ascension (J2000) (RA)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(F10.6)	[-17.53/84.44] Declination (J2000) (DEC)	[ucd=pos.eq.dec;meta.main]
#Column	z	(F11.6)	[-0.0027/7.03]? Best available redshift	[ucd=src.redshift;pos.heliocentric]
SDSS	RAJ2000	DEJ2000	z
095127.33+440156.3	147.863899	+44.032314	   2.056103
095127.36+100342.1	147.864022	+10.061699	   2.371000
095127.50+345043.9	147.864588	+34.845531	   0.951512
095127.50+533920.7	147.864588	+53.655761	   1.513759
095127.71+150356.9	147.865496	+15.065821	   1.778300
095127.73+540738.3	147.865558	+54.127330	   1.750850
095127.82+434704.2	147.865927	+43.784501	   2.197000
095127.91+065339.2	147.866300	+06.894243	   1.078000
095127.94+553917.1	147.866442	+55.654763	   1.028127
095127.97+484011.6	147.866548	+48.669901	   1.352000
095128.06+110034.9	147.866953	+11.009720	   1.513432
095128.08+420336.1	147.867030	+42.060053	   0.235809
095128.13+591229.4	147.867242	+59.208184	   0.532724
095128.15+535056.6	147.867295	+53.849062	   2.320000
095128.33+144238.2	147.868050	+14.710639	   1.306100
095128.34+341030.5	147.868085	+34.175167	   1.721008
095128.35+571410.2	147.868149	+57.236169	   0.588000
095128.41+284434.5	147.868383	+28.742917	   0.404676
095128.50+274721.9	147.868781	+27.789444	   1.969294
095128.57+294728.6	147.869081	+29.791296	   1.718753
095128.69+325837.9	147.869568	+32.977200	   2.214000
095128.74+102217.5	147.869756	+10.371555	   1.704787
095128.75+173417.8	147.869817	+17.571637	   2.034000
095128.76+253139.1	147.869835	+25.527538	   1.174973
095128.83+453954.3	147.870166	+45.665106	   2.292000
095129.11+053735.1	147.871322	+05.626439	   3.679000
095129.29+275341.6	147.872060	+27.894905	   0.650000
095129.35+392301.5	147.872321	+39.383772	   1.639306
095129.47+563056.3	147.872827	+56.515643	   1.768527
095129.48+251433.6	147.872865	+25.242683	   4.070000
095129.51+523926.6	147.872986	+52.657416	   3.288000
095129.66+451352.5	147.873607	+45.231272	   0.772000
095129.70+371936.7	147.873774	+37.326878	   0.784582
095129.72+131450.5	147.873847	+13.247377	   1.849000
095129.76+044524.6	147.874015	+04.756841	   1.827681
095129.77+404942.8	147.874056	+40.828563	   1.905125
095129.80+411609.6	147.874170	+41.269350	   0.949861
095129.84+144441.6	147.874334	+14.744891	   2.998000
095129.90+275459.2	147.874616	+27.916462	   1.713409
095129.91+383956.3	147.874631	+38.665641	   1.873000
095129.93+432600.8	147.874731	+43.433560	   0.653000
095130.01+332158.7	147.875080	+33.366329	   1.313308
095130.19+323438.2	147.875825	+32.577305	   2.737000
095130.24+314813.0	147.876024	+31.803614	   0.556387
095130.24+594037.1	147.876015	+59.676978	   1.057655
095130.26+022208.6	147.876119	+02.369064	   2.320000
095130.26+090544.6	147.876086	+09.095741	   2.718000
095130.26+193002.9	147.876106	+19.500813	   0.927000
095130.28+045834.6	147.876169	+04.976286	   1.012351
095130.28+393224.6	147.876187	+39.540184	   0.424787
095130.29+472341.0	147.876239	+47.394734	   2.112000
095130.41+535527.8	147.876736	+53.924399	   1.850915
095130.46+415048.2	147.876922	+41.846741	   3.105000
095130.54+392003.0	147.877257	+39.334170	   1.599703
095130.57+543942.0	147.877399	+54.661677	   0.495378
095130.73+440302.9	147.878064	+44.050817	   1.190849
095130.73+491212.9	147.878077	+49.203588	   1.083000
095130.80+335529.8	147.878335	+33.924965	   1.513210
095130.82+511930.6	147.878422	+51.325169	   1.236863
095130.82+620441.8	147.878430	+62.078281	   0.583457
095130.85+330018.0	147.878549	+33.005000	   2.943000
095130.87+451751.6	147.878638	+45.297686	   1.758037
095130.90+253612.6	147.878758	+25.603525	   1.986477
095131.09+095847.6	147.879553	+09.979915	   2.979000
095131.17+425613.6	147.879884	+42.937132	   2.393000
095131.19+305631.4	147.879989	+30.942066	   1.018000
095131.23+455129.3	147.880150	+45.858140	   1.869000
095131.29+503251.0	147.880396	+50.547513	   1.035000
095131.30+380230.1	147.880452	+38.041716	   2.113814
095131.38+273910.9	147.880756	+27.653044	   1.772395
095131.60+343451.6	147.881669	+34.581008	   1.789546
095131.60+454008.0	147.881670	+45.668911	   2.299000
095131.70+315827.8	147.882112	+31.974415	   1.387182
095131.77+313722.2	147.882382	+31.622851	   1.616000
095131.98+090214.6	147.883280	+09.037406	   0.978000
095132.04+415211.1	147.883534	+41.869773	   0.835471
095132.08+545827.3	147.883681	+54.974261	   2.700763
095132.13+115130.4	147.883901	+11.858453	   2.653000
095132.13-015706.9	147.883896	-01.951935	   3.265000
095132.29-004151.5	147.884565	-00.697645	   2.263000
095132.42+113149.6	147.885103	+11.530458	   2.230000
095132.49+345054.5	147.885376	+34.848490	   1.484493
095132.49+504156.0	147.885386	+50.698900	   1.627000
095132.53+510246.7	147.885576	+51.046328	   1.572000
095132.53+591936.4	147.885556	+59.326782	   2.745000
095132.61+453558.7	147.885886	+45.599645	   1.960000
095132.70+463049.9	147.886255	+46.513863	   0.979000
095132.75+281152.5	147.886482	+28.197936	   1.101980
095132.75+345547.7	147.886470	+34.929930	   1.947511
095132.80+265908.0	147.886707	+26.985556	   2.390000
095149.74+302136.1	147.957256	+30.360047	   1.390393
095132.80+392816.7	147.886689	+39.471310	   1.746996
095132.98+254629.6	147.887450	+25.774908	   2.735000
095133.02+554104.0	147.887603	+55.684472	   1.245689
095133.32+142725.5	147.888837	+14.457093	   1.903000
095133.38+394540.4	147.889098	+39.761224	   1.991752
095133.39+365914.3	147.889140	+36.987327	   0.817718
095133.45+361131.4	147.889395	+36.192061	   2.807523
095133.46+374639.6	147.889441	+37.777674	   1.573253
095133.46+434859.4	147.889424	+43.816501	   1.007061
095133.57+575707.0	147.889881	+57.951961	   1.294995
095133.60+222046.6	147.890034	+22.346282	   0.804000
095133.64+424058.5	147.890177	+42.682937	   1.682755
095133.71+355316.3	147.890498	+35.887883	   0.718267
095133.89+331054.8	147.891220	+33.181912	   1.356876
095133.96+494638.5	147.891503	+49.777385	   2.366000
095133.97+191024.7	147.891552	+19.173539	   4.510000
095135.66+511456.3	147.898609	+51.248983	   2.094857
095134.08+091221.7	147.892008	+09.206048	   2.036000
095134.15+351312.8	147.892328	+35.220236	   3.248000
095134.16+030650.5	147.892345	+03.114043	   0.737000
095134.27+421151.4	147.892819	+42.197633	   0.711369
095134.28+175758.4	147.892857	+17.966235	   1.557000
095134.28+530517.3	147.892845	+53.088157	   1.182679
095134.32+355012.3	147.893010	+35.836774	   1.470000
095134.40+332500.6	147.893341	+33.416834	   0.993759
095134.45+470046.6	147.893555	+47.012951	   1.989000
095134.63+082817.2	147.894319	+08.471470	   2.147000
095134.78+002323.1	147.894923	+00.389755	   2.923000
095134.85+605417.6	147.895250	+60.904909	   2.322000
095134.90+450326.9	147.895443	+45.057483	   1.593867
095134.98+410733.1	147.895781	+41.125877	   2.416000
095134.99+461951.8	147.895802	+46.331072	   2.009000
095135.09+283538.8	147.896213	+28.594122	   2.262960
095135.18+393924.3	147.896612	+39.656771	   1.147000
095135.26+580506.2	147.896917	+58.085066	   2.129606
095135.30+304357.1	147.897103	+30.732532	   1.009471
095135.40+004610.9	147.897512	+00.769718	   3.211000
095135.44+480903.1	147.897696	+48.150864	   1.305000
095135.45+410331.3	147.897734	+41.058715	   1.080019
095135.56+174559.8	147.898199	+17.766615	   0.481102
095135.56+253149.7	147.898173	+25.530481	   1.543621
095135.64+524649.0	147.898521	+52.780301	   1.849834
095135.74+295627.6	147.898945	+29.941019	   2.022728
095135.75+043051.7	147.898987	+04.514387	   2.541000
095135.90+305907.8	147.899587	+30.985509	   2.082000
095135.94+145816.1	147.899778	+14.971154	   3.630000
095135.94+200305.4	147.899787	+20.051513	   2.363000
095135.96+445415.5	147.899838	+44.904329	   1.273871
095135.98+334939.2	147.899957	+33.827558	   1.164901
095136.15+002644.1	147.900659	+00.445606	   0.724000
095136.19+113045.3	147.900809	+11.512597	   2.440000
095136.26+364837.4	147.901096	+36.810411	   1.708000
095136.44+583700.8	147.901847	+58.616909	   2.638000
095136.49+270232.6	147.902063	+27.042398	   2.369000
095136.49+415114.7	147.902049	+41.854086	   2.617000
095136.54+501456.5	147.902255	+50.249050	   0.694000
095136.55+503555.3	147.902299	+50.598722	   1.556945
095136.62+522431.7	147.902618	+52.408830	   1.618111
095136.62+580819.5	147.902620	+58.138765	   1.847000
095136.63+390215.3	147.902657	+39.037604	   2.688000
095136.70+063921.3	147.902951	+06.655928	   2.486000
095136.72+260730.3	147.903033	+26.125099	   0.738120
095136.82+470701.9	147.903431	+47.117215	   2.831000
095136.96+202216.8	147.904031	+20.371343	   0.746000
095136.99+432948.2	147.904155	+43.496734	   2.963000
095137.00-004752.9	147.904201	-00.798052	   0.634000
095137.07+465909.1	147.904460	+46.985881	   0.758000
095137.31+425251.3	147.905463	+42.880936	   2.641000
095137.31+470833.3	147.905461	+47.142598	   2.596000
095137.36+443518.1	147.905700	+44.588365	   1.030421
095137.37+092543.1	147.905744	+09.428642	   0.816000
095137.43+314846.9	147.905978	+31.813039	   2.128469
095137.56+262259.9	147.906535	+26.383314	   1.786091
095137.58+434700.1	147.906615	+43.783384	   2.495000
095137.62+201436.9	147.906767	+20.243607	   2.441000
095137.70+222607.3	147.907116	+22.435378	   2.020000
095137.81+105518.4	147.907544	+10.921781	   1.841000
095138.55+564426.6	147.910635	+56.740746	   0.799252
095138.57+343630.3	147.910715	+34.608440	   1.786325
095138.59+455803.4	147.910816	+45.967630	   2.368000
095138.70+384147.7	147.911265	+38.696590	   0.957000
095138.78+372601.4	147.911605	+37.433736	   1.561565
095138.80+552008.6	147.911698	+55.335748	   2.216109
095138.89+321821.0	147.912058	+32.305856	   0.780000
095138.97+514606.6	147.912396	+51.768516	   3.060000
095139.04+012839.8	147.912701	+01.477748	   2.232000
095139.15+105153.3	147.913128	+10.864824	   0.436629
095139.16+451121.7	147.913191	+45.189378	   1.283998
095139.16+544848.2	147.913197	+54.813414	   2.455000
095139.20+353619.9	147.913365	+35.605554	   1.410575
095139.39-004828.7	147.914142	-00.807990	   0.636000
095139.41+320426.8	147.914233	+32.074118	   1.280925
095139.53+153613.1	147.914729	+15.603639	   0.702000
095139.54+115629.1	147.914751	+11.941429	   2.826000
095139.61+462119.4	147.915064	+46.355395	   1.024550
095139.63+291551.2	147.915148	+29.264242	   1.850248
095139.64-004948.5	147.915203	-00.830157	   0.627000
095139.66+424726.5	147.915270	+42.790707	   1.299487
095139.75+444901.6	147.915635	+44.817131	   1.224076
095139.81+550548.5	147.915908	+55.096830	   1.212420
095139.91+135938.8	147.916294	+13.994120	   2.614000
095139.93+043024.6	147.916413	+04.506857	   2.079208
095139.97+504556.1	147.916546	+50.765585	   2.390000
095140.00+372145.2	147.916687	+37.362563	   2.198000
095140.01+563627.3	147.916725	+56.607584	   1.719034
095140.11+522706.2	147.917154	+52.451724	   2.238000
095140.19+523844.0	147.917463	+52.645575	   1.465382
095140.20+254507.3	147.917528	+25.752052	   1.612194
095140.33+451621.9	147.918080	+45.272758	   0.944000
095140.46+282329.3	147.918618	+28.391477	   2.675000
095140.53+275228.2	147.918901	+27.874503	   0.614000
095140.53+341942.0	147.918898	+34.328345	   2.758511
095140.56+405656.8	147.919018	+40.949124	   1.986375
095140.58+374959.6	147.919099	+37.833236	   0.942107
095140.59+493638.8	147.919154	+49.610778	   2.240000
095140.61+615411.2	147.919232	+61.903112	   0.890000
095140.64+301948.0	147.919350	+30.330028	   1.942532
095140.76+054230.6	147.919870	+05.708511	   1.162982
095140.85+584054.1	147.920221	+58.681720	   2.351000
095140.86+270820.8	147.920275	+27.139125	   1.104136
095140.93+345955.2	147.920556	+34.998687	   1.650795
095140.95+040031.1	147.920635	+04.008647	   0.809362
095140.98+590100.3	147.920766	+59.016762	   1.449335
095141.00+371631.8	147.920861	+37.275512	   2.090949
095141.08+564133.5	147.921173	+56.692663	   1.224836
095141.28+571814.5	147.922007	+57.304045	   1.720162
095141.29+595228.4	147.922046	+59.874558	   1.917694
095141.33+013259.5	147.922239	+01.549871	   2.418000
095141.36+423855.5	147.922345	+42.648762	   1.345045
095141.36+563911.8	147.922337	+56.653301	   0.968207
095141.48+263108.7	147.922834	+26.519105	   2.727000
095141.56+543518.9	147.923194	+54.588591	   2.129270
095141.63+522005.6	147.923474	+52.334908	   1.321454
095141.64+455111.1	147.923511	+45.853086	   1.238000
095141.73+611403.6	147.923885	+61.234341	   3.746000
095141.79+385110.0	147.924164	+38.852803	   2.024680
095141.93+382518.7	147.924721	+38.421876	   3.195000
095142.00+593808.6	147.925000	+59.635733	   1.056838
095142.02+472301.9	147.925088	+47.383877	   1.270000
095150.57+593423.2	147.960723	+59.573117	   1.533152
095142.06+414147.8	147.925283	+41.696631	   1.141500
095142.08-001006.8	147.925352	-00.168581	   2.346000
095142.10+481443.8	147.925430	+48.245527	   1.221000
095142.17+295945.2	147.925729	+29.995911	   1.598103
095142.20+520947.4	147.925870	+52.163188	   2.325000
095142.52+260917.9	147.927194	+26.155000	   1.919743
095142.54+313112.2	147.927281	+31.520066	   2.263000
095142.63+375516.0	147.927637	+37.921135	   0.970500
095142.67+503648.4	147.927819	+50.613460	   1.376000
095142.84+413130.9	147.928506	+41.525263	   1.159090
095142.89+355724.2	147.928712	+35.956726	   1.718896
095142.97+204452.2	147.929058	+20.747850	   2.614000
095142.99+572552.7	147.929151	+57.431332	   1.016000
095143.07+025810.8	147.929468	+02.969674	   1.173769
095143.14+202403.7	147.929771	+20.401030	   2.979000
095143.14+421404.2	147.929770	+42.234505	   1.367759
095146.28+373813.4	147.942872	+37.637080	   2.014193
095143.17+542432.6	147.929897	+54.409067	   1.613197
095143.18+442632.5	147.929921	+44.442384	   1.827733
095143.21+122745.6	147.930043	+12.462689	   2.820000
095143.25+115733.5	147.930226	+11.959316	   3.140000
095143.25+382946.2	147.930236	+38.496185	   0.431913
095143.26+475526.6	147.930260	+47.924074	   1.892000
095143.27+385926.7	147.930323	+38.990771	   2.759171
095143.32+332803.0	147.930512	+33.467501	   2.258000
095143.40+295222.8	147.930864	+29.873023	   1.379397
095143.63+483726.1	147.931813	+48.623918	   1.805000
095143.65+291643.5	147.931889	+29.278777	   2.050980
095143.91+404436.5	147.932980	+40.743489	   1.624155
095143.92+422653.7	147.933010	+42.448265	   1.038648
095143.93+365633.7	147.933077	+36.942700	   1.013431
095143.97+365012.0	147.933228	+36.836685	   3.033000
095144.02+362456.0	147.933456	+36.415581	   2.461000
095144.14+081137.8	147.933934	+08.193851	   2.961000
095144.23+500135.5	147.934303	+50.026542	   1.772000
095144.31+101241.7	147.934630	+10.211603	   2.209000
095144.35+595448.0	147.934800	+59.913349	   2.177006
095144.56+292816.5	147.935697	+29.471275	   1.020690
095144.64+394135.4	147.936041	+39.693191	   1.022308
095144.70+280223.9	147.936273	+28.039981	   2.778000
095144.79+310721.9	147.936655	+31.122759	   1.268765
095202.47+303216.3	148.010308	+30.537881	   1.527160
095144.79+550413.2	147.936647	+55.070356	   3.191000
095144.79+552322.9	147.936633	+55.389719	   1.675700
095144.87+561207.9	147.936968	+56.202218	   0.762544
095144.90+591924.5	147.937107	+59.323487	   1.671432
095144.93+595057.9	147.937242	+59.849424	   0.584590
095145.05+390407.6	147.937719	+39.068805	   2.540000
095145.05-024804.8	147.937710	-02.801334	   3.014000
095145.19+022927.4	147.938310	+02.490956	   2.818000
095145.23+525305.6	147.938499	+52.884905	   1.798310
095145.38+474222.2	147.939106	+47.706181	   1.702000
095145.48+624233.1	147.939538	+62.709204	   0.726016
095145.68+173622.7	147.940358	+17.606310	   0.894600
095145.72+164224.4	147.940533	+16.706804	   0.557500
095145.72+451046.8	147.940507	+45.179674	   2.095000
095145.74+263746.1	147.940602	+26.629490	   1.110446
095145.77+355401.0	147.940731	+35.900302	   0.770000
095145.88+291415.7	147.941201	+29.237697	   2.015309
095145.92+105653.0	147.941353	+10.948061	   2.474000
095145.93+332256.0	147.941414	+33.382223	   1.283069
095145.99+474125.1	147.941633	+47.690331	   1.232000
095146.03+574346.3	147.941803	+57.729555	   2.164000
095146.08+080310.2	147.942036	+08.052843	   2.233000
095146.17+554228.8	147.942387	+55.708010	   2.583000
095146.26+390733.8	147.942762	+39.126067	   1.535792
095146.29+421100.3	147.942892	+42.183433	   1.754988
095146.36+521259.2	147.943188	+52.216459	   1.568802
095146.63+440957.1	147.944294	+44.165864	   1.315121
095146.71+125715.6	147.944636	+12.954357	   4.189000
095146.75+614206.7	147.944796	+61.701887	   2.002000
095146.76+021359.6	147.944861	+02.233229	   2.231000
095146.76+511951.3	147.944855	+51.330918	   1.240706
095146.84+282543.5	147.945200	+28.428774	   2.329000
095146.90+322435.5	147.945427	+32.409863	   1.135961
095146.93+003458.0	147.945556	+00.582802	   3.266000
095147.01+492243.3	147.945877	+49.378712	   0.794000
095147.17+474528.2	147.946564	+47.757857	   1.465000
095147.29+465024.1	147.947059	+46.840028	   1.815000
095147.30+265504.1	147.947100	+26.917828	   2.306000
095147.30+530942.3	147.947105	+53.161755	   0.578000
095147.32+341508.0	147.947181	+34.252227	   1.059274
095147.64+494039.7	147.948534	+49.677703	   0.824000
095147.86+020235.5	147.949433	+02.043201	   0.605216
095147.91+414522.5	147.949626	+41.756265	   1.353706
095148.22+142413.3	147.950933	+14.403695	   3.344000
095148.30+285521.8	147.951266	+28.922740	   1.836703
095148.34+105900.9	147.951428	+10.983595	   2.448000
095148.37+115803.7	147.951559	+11.967709	   2.184000
095148.40+352534.4	147.951688	+35.426236	   1.159483
095148.58+442011.2	147.952440	+44.336469	   1.467710
095148.72+211227.4	147.953026	+21.207627	   2.476000
095148.80+194903.0	147.953338	+19.817527	   0.847000
095148.84+452237.3	147.953533	+45.377043	   0.574000
095149.06+243142.0	147.954427	+24.528339	   1.300911
095149.08+341909.7	147.954506	+34.319382	   0.858624
095149.08+410040.8	147.954517	+41.011339	   0.688740
095149.13+395027.9	147.954717	+39.841091	   0.916000
095149.16+320537.0	147.954859	+32.093622	   1.130000
095149.21+460305.3	147.955068	+46.051497	   1.378000
095149.23+070752.4	147.955134	+07.131246	   2.788000
095149.27+331557.5	147.955321	+33.265978	   1.214430
095149.28+204630.5	147.955364	+20.775144	   2.732000
095149.36+103251.8	147.955705	+10.547732	   3.253000
095149.37+471803.0	147.955717	+47.300851	   1.990000
095149.41+262559.4	147.955899	+26.433194	   1.250553
095149.42+323216.1	147.955944	+32.537815	   0.643405
095149.94+543319.5	147.958105	+54.555417	   2.373000
095150.00+304811.8	147.958333	+30.803282	   0.935278
095150.02+135200.5	147.958445	+13.866810	   2.453000
095150.02+565644.6	147.958439	+56.945744	   1.997693
095150.10+480802.1	147.958786	+48.133924	   1.741000
095150.17+234531.7	147.959057	+23.758814	   2.616000
095150.18+100304.1	147.959124	+10.051144	   3.278000
095150.20+305520.7	147.959170	+30.922428	   2.350000
095150.24+464335.7	147.959342	+46.726604	   1.018000
095150.34+113540.9	147.959774	+11.594699	   0.805713
095150.36+521555.7	147.959874	+52.265486	   1.609761
095150.39+334301.7	147.959992	+33.717147	   1.831589
095150.43+024149.8	147.960126	+02.697169	   1.694636
095150.46+524910.2	147.960263	+52.819510	   3.723000
095150.47+255216.8	147.960308	+25.871337	   3.049000
095150.49-025545.5	147.960383	-02.929309	   0.905000
095150.58+081302.5	147.960753	+08.217368	   0.782238
095150.58+503118.9	147.960770	+50.521935	   0.821786
095150.78+533230.9	147.961602	+53.541938	   1.646905
095150.83+264953.7	147.961803	+26.831588	   1.813042
095150.87+380203.2	147.961960	+38.034234	   2.504000
095150.88+230846.8	147.962024	+23.146360	   1.871106
095150.92+355257.8	147.962167	+35.882730	   2.405000
095150.94+003328.1	147.962289	+00.557829	   2.926000
095150.97+185512.2	147.962379	+18.920079	   2.921000
095151.06+532533.7	147.962757	+53.426043	   3.285837
095151.18+594556.1	147.963285	+59.765601	   4.870000
095151.19+385211.4	147.963296	+38.869841	   1.898199
