#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2026-03-02T07:56:11 [V7.5.4]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-03-02T07:56:11	  Query execution date
#INFO	request=https://vizier.u-strasbg.fr/viz-bin/asu-tsv?-source=VII%2F274%2Fbzcat5&-out=Name%2CRAJ2000%2CDEJ2000%2Cz%2CType&-out.max=10000	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.5.4	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_7274
#Name: VII/274
#Title: The Roma BZCAT - 5th edition (Massaro+, 2015)
#INFO	ivoid=ivo://cds.vizier/vii/274	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/vii/274	    IVOID of underlying data collection
#INFO	creator=Massaro E.	    First author or institution
#INFO	cites=bibcode:2015Ap&SS.357...75M	    Article or Data origin sources
#INFO	journal=Ap&S	    Journal name
#INFO	original_date=2015	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/VII/274	    Dataset landing page
#INFO	publication_date=2020-10-01	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	VII_274_bzcat5:
#Name: VII/274/bzcat5
#Title: The Roma BZCAT - 5th edition
#Column	Name	(A15)	Source name (based on J2000 position), 5BZA JHHMM+DDMM (G1)	[ucd=meta.id;meta.main]
#Column	RAJ2000	(A11)	Right ascension (J2000.0)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(A12)	Declination (J2000.0)	[ucd=pos.eq.dec;meta.main]
#Column	z	(F6.3)	Redshift	[ucd=src.redshift]
Name	RAJ2000	DEJ2000	z
5BZQ J0010+1058	00 10 31.00	+10 58 29.60	 0.089
5BZQ J0010+1724	00 10 33.99	+17 24 19.00	 1.601
5BZQ J0010-3027	00 10 35.71	-30 27 47.41	 1.190
5BZQ J0010-2945	00 10 45.18	-29 45 13.21	 2.344
5BZQ J0011-2612	00 11 01.21	-26 12 32.00	 1.096
5BZQ J0011-3620	00 11 14.71	-36 20 39.40	 2.324
5BZQ J0011+0057	00 11 30.40	+00 57 51.98	 1.492
5BZG J0012-1628	00 12 33.85	-16 28 07.28	 0.151
5BZQ J0012+3353	00 12 47.35	+33 53 38.61	 1.682
5BZB J0012-3954	00 12 59.87	-39 54 25.81	 0.000
5BZQ J0013-1513	00 13 20.70	-15 13 47.20	 1.838
5BZQ J0013-0423	00 13 54.11	-04 23 52.11	 1.075
5BZG J0013-1854	00 13 56.03	-18 54 06.51	 0.095
5BZB J0013+1910	00 13 56.35	+19 10 41.98	 0.477
5BZB J0014-5022	00 14 11.43	-50 22 34.89	 0.000
5BZG J0014+0854	00 14 19.75	+08 54 01.40	 0.162
5BZQ J0014-3059	00 14 37.95	-30 59 19.21	 2.785
5BZB J0014+5802	00 14 42.12	+58 02 01.21	 0.000
5BZQ J0015-1812	00 15 02.47	-18 12 50.68	 0.743
5BZB J0015+3536	00 15 27.96	+35 36 39.59	 0.000
5BZQ J0015+1700	00 15 39.97	+17 00 41.00	 1.709
5BZQ J0016-0015	00 16 11.09	-00 15 12.38	 1.577
5BZQ J0017+8135	00 17 08.45	+81 35 08.19	 3.387
5BZQ J0017-0512	00 17 35.81	-05 12 41.61	 0.227
5BZB J0017+1451	00 17 36.89	+14 51 01.90	 0.303
5BZQ J0017-2748	00 17 58.99	-27 48 21.09	 1.169
5BZB J0018+2947	00 18 27.78	+29 47 30.80	 0.100
5BZB J0019-8152	00 19 20.58	-81 52 51.31	 0.000
5BZB J0019+2021	00 19 37.84	+20 21 45.79	 0.000
5BZQ J0019+2602	00 19 39.78	+26 02 52.40	 0.284
5BZQ J0019-3031	00 19 42.67	-30 31 19.19	 2.677
5BZQ J0019+7327	00 19 45.77	+73 27 30.31	 1.781
5BZB J0021-2550	00 21 32.53	-25 50 49.20	 0.000
5BZB J0021-0900	00 21 42.24	-09 00 44.31	 0.648
5BZB J0022-5140	00 22 00.07	-51 40 24.20	 0.000
5BZG J0022+0006	00 22 00.95	+00 06 57.99	 0.306
5BZQ J0022+4525	00 22 06.61	+45 25 34.10	 1.897
5BZB J0022-1853	00 22 09.27	-18 53 34.80	 0.000
5BZB J0022+0608	00 22 32.44	+06 08 04.41	 0.000
5BZU J0023+4456	00 23 35.44	+44 56 35.80	 2.023
5BZB J0024+1602	00 24 01.26	+16 02 34.00	 0.000
5BZQ J0024+2439	00 24 27.32	+24 39 26.60	 1.444
5BZQ J0024+0349	00 24 45.20	+03 49 03.68	 0.545
5BZQ J0024-0412	00 24 45.95	-04 12 01.69	 1.946
5BZQ J0025-2227	00 25 24.24	-22 27 47.59	 0.834
5BZB J0026-4601	00 26 35.62	-46 01 09.69	 0.000
5BZQ J0026-1112	00 26 51.42	-11 12 52.48	 1.118
5BZQ J0027+2241	00 27 15.36	+22 41 58.30	 1.119
5BZG J0027+2607	00 27 26.99	+26 07 06.70	 0.360
5BZB J0028+2408	00 28 34.20	+24 08 08.41	 0.373
5BZU J0028+0035	00 28 39.84	+00 35 41.31	 0.687
5BZB J0028-7045	00 28 41.53	-70 45 15.80	 0.000
5BZQ J0029+0509	00 29 03.58	+05 09 34.81	 1.633
5BZQ J0029+0554	00 29 45.89	+05 54 40.89	 1.314
5BZB J0030-0000	00 30 07.87	-00 00 07.19	 0.000
5BZQ J0030-4224	00 30 17.48	-42 24 46.40	 0.495
5BZQ J0031-3922	00 31 24.32	-39 22 49.40	 1.298
5BZQ J0031-4108	00 31 28.04	-41 08 15.68	 0.896
5BZQ J0032-2649	00 32 33.00	-26 49 18.19	 1.470
5BZB J0032-2849	00 32 33.06	-28 49 20.31	 0.324
5BZB J0033-1921	00 33 34.36	-19 21 32.90	 0.000
5BZQ J0034+2754	00 34 43.49	+27 54 25.70	 2.964
5BZB J0035+1515	00 35 14.70	+15 15 04.21	 0.000
5BZB J0035+5950	00 35 52.62	+59 50 04.30	 0.000
5BZQ J0036-0932	00 36 06.95	-09 32 29.61	 1.182
5BZQ J0037-2145	00 37 14.82	-21 45 24.69	 2.513
5BZB J0037+2141	00 37 23.53	+21 41 53.30	 0.598
5BZB J0037+1238	00 37 50.87	+12 38 20.00	 0.000
5BZB J0038+0013	00 38 08.48	+00 13 36.58	 0.740
5BZQ J0038-2459	00 38 14.72	-24 59 02.18	 0.498
5BZQ J0038-0329	00 38 20.79	-03 29 58.81	 1.858
5BZQ J0038+4137	00 38 24.84	+41 37 06.31	 1.353
5BZQ J0038+1856	00 38 28.87	+18 56 17.70	 1.193
5BZQ J0039-0942	00 39 06.28	-09 42 46.79	 2.102
5BZQ J0039-1111	00 39 31.57	-11 11 02.39	 0.552
5BZB J0039+1411	00 39 39.60	+14 11 57.51	 1.738
5BZU J0040+4050	00 40 13.80	+40 50 04.70	 0.000
5BZB J0040-2719	00 40 16.40	-27 19 11.60	 0.172
5BZG J0040-2340	00 40 24.89	-23 40 00.58	 0.213
5BZB J0040-3225	00 40 30.65	-32 25 20.09	 0.000
5BZQ J0040-0146	00 40 57.60	-01 46 31.90	 1.178
5BZQ J0042-4030	00 42 01.20	-40 30 39.20	 2.478
5BZQ J0042+2320	00 42 04.55	+23 20 01.28	 1.426
5BZB J0042+3641	00 42 08.09	+36 41 12.98	 0.000
5BZQ J0042+1509	00 42 13.57	+15 09 15.40	 1.159
5BZQ J0042+1009	00 42 44.35	+10 09 49.50	 1.657
5BZU J0043-2639	00 43 22.72	-26 39 06.01	 0.451
5BZQ J0043+0025	00 43 32.70	+00 25 00.01	 1.128
5BZQ J0043+3426	00 43 48.89	+34 26 25.90	 0.966
5BZQ J0044-3752	00 44 17.04	-37 52 59.19	 0.483
5BZQ J0044-8422	00 44 26.56	-84 22 40.00	 1.032
5BZB J0045+2127	00 45 19.27	+21 27 40.10	 0.000
5BZQ J0045-2243	00 45 39.59	-22 43 55.09	 1.538
5BZB J0045+1217	00 45 43.32	+12 17 11.79	 0.000
5BZQ J0046+3900	00 46 47.54	+39 00 47.41	 0.958
5BZB J0047+5657	00 47 00.42	+56 57 42.40	 0.000
5BZB J0047+2017	00 47 09.78	+20 17 29.50	 0.000
5BZQ J0047+2435	00 47 43.86	+24 35 15.89	 0.620
5BZQ J0047-8256	00 47 51.38	-82 56 49.41	 1.112
5BZB J0047+3948	00 47 55.21	+39 48 57.60	 0.252
5BZQ J0048+2235	00 48 02.60	+22 35 24.28	 1.161
5BZG J0048+3157	00 48 47.14	+31 57 25.20	 0.015
5BZU J0049-4457	00 49 16.60	-44 57 11.01	 0.121
5BZQ J0049-3116	00 49 22.88	-31 16 27.29	 2.721
5BZQ J0049-2509	00 49 33.72	-25 09 33.98	 1.472
5BZQ J0049+5128	00 49 37.95	+51 28 14.01	 0.870
5BZB J0049+0237	00 49 43.21	+02 37 03.89	 0.000
5BZQ J0049-5738	00 49 59.51	-57 38 26.69	 1.797
5BZQ J0050-0452	00 50 21.53	-04 52 20.31	 0.922
5BZB J0050-0929	00 50 41.29	-09 29 04.88	 0.000
5BZQ J0051-0650	00 51 08.20	-06 50 01.89	 1.975
5BZQ J0051-4226	00 51 09.48	-42 26 32.78	 1.749
5BZB J0051-6242	00 51 16.64	-62 42 04.39	 0.000
5BZQ J0052+4402	00 52 27.82	+44 02 54.59	 2.624
5BZQ J0052-2825	00 52 52.54	-28 25 54.01	 1.643
5BZB J0054-2455	00 54 46.74	-24 55 28.99	 0.000
5BZG J0056-0936	00 56 20.05	-09 36 30.59	 0.103
5BZB J0056-2117	00 56 32.27	-21 17 07.90	 0.000
5BZB J0056+1625	00 56 55.25	+16 25 13.51	 0.206
5BZQ J0057-0024	00 57 16.98	-00 24 32.61	 2.747
5BZB J0057-2212	00 57 19.25	-22 12 37.11	 0.000
5BZB J0058-3234	00 58 02.21	-32 34 20.60	 0.000
5BZQ J0058-0539	00 58 05.07	-05 39 52.30	 1.246
5BZB J0058+1723	00 58 16.78	+17 23 13.48	 0.000
5BZU J0058+3311	00 58 32.05	+33 11 17.41	 1.369
5BZQ J0058+0620	00 58 33.79	+06 20 06.39	 0.592
5BZU J0058-5659	00 58 46.57	-56 59 11.50	 0.000
5BZB J0058-5219	00 58 55.85	-52 19 28.09	 0.000
5BZQ J0059+0006	00 59 05.51	+00 06 51.69	 0.719
5BZG J0059-0150	00 59 16.91	-01 50 17.69	 0.114
5BZQ J0100-3337	01 00 09.29	-33 37 32.19	 0.874
5BZU J0100+0745	01 00 20.80	+07 45 51.40	 0.000
5BZQ J0100+3345	01 00 38.28	+33 45 06.19	 2.144
5BZB J0100-0055	01 00 58.18	-00 55 47.38	 0.000
5BZQ J0102-8012	01 02 14.81	-80 12 39.38	 1.169
5BZQ J0102-7546	01 02 18.59	-75 46 50.98	 1.017
5BZQ J0102+4214	01 02 27.11	+42 14 19.28	 0.874
5BZU J0102+5824	01 02 45.76	+58 24 11.08	 0.644
5BZQ J0102-2646	01 02 56.34	-26 46 36.08	 1.597
5BZG J0103+1526	01 03 26.01	+15 26 24.79	 0.246
5BZG J0103+4322	01 03 28.85	+43 22 59.91	 0.000
5BZU J0103-6439	01 03 33.71	-64 39 07.59	 0.163
5BZQ J0104-2416	01 04 58.19	-24 16 28.41	 1.747
5BZB J0105+3928	01 05 09.29	+39 28 15.31	 0.440
5BZU J0106+3402	01 06 00.29	+34 02 03.01	 0.579
5BZG J0106+2539	01 06 10.97	+25 39 30.49	 0.199
5BZQ J0106-0155	01 06 22.98	-01 55 38.38	 2.194
5BZQ J0106-2718	01 06 26.08	-27 18 11.80	 2.486
5BZQ J0106-1034	01 06 44.15	-10 34 10.30	 0.469
5BZQ J0106-4034	01 06 45.11	-40 34 19.99	 0.584
5BZQ J0107+2611	01 07 47.88	+26 11 08.59	 0.522
5BZQ J0108-0037	01 08 26.83	-00 37 24.20	 1.374
5BZQ J0108+0135	01 08 38.76	+01 35 00.31	 2.099
5BZB J0109+1816	01 09 08.17	+18 16 07.50	 0.000
5BZQ J0109+6133	01 09 46.33	+61 33 30.49	 0.783
5BZG J0110+4149	01 10 04.79	+41 49 50.91	 0.096
5BZB J0110-0047	01 10 12.66	-00 47 46.78	 0.548
5BZU J0110+6805	01 10 12.86	+68 05 41.20	 0.000
5BZB J0110-0415	01 10 30.89	-04 15 30.99	 0.000
5BZQ J0110-1648	01 10 35.51	-16 48 27.68	 0.780
5BZB J0110-1255	01 10 49.97	-12 55 03.50	 0.234
5BZQ J0110-0741	01 10 50.02	-07 41 41.10	 1.779
5BZB J0111+0536	01 11 30.18	+05 36 27.28	 0.346
5BZU J0111+3906	01 11 37.31	+39 06 28.11	 0.668
5BZQ J0111-1317	01 11 56.86	-13 17 01.10	 2.420
5BZB J0112+2244	01 12 05.81	+22 44 38.79	 0.265
5BZQ J0112+2020	01 12 10.19	+20 20 21.80	 0.746
5BZQ J0112+3522	01 12 12.94	+35 22 19.30	 0.450
5BZQ J0112+3818	01 12 18.05	+38 18 56.91	 0.333
5BZQ J0112-6634	01 12 18.90	-66 34 45.19	 1.189
5BZB J0112-3201	01 12 32.76	-32 01 42.09	 0.000
5BZQ J0112+3208	01 12 50.33	+32 08 17.41	 0.603
5BZQ J0113-3551	01 13 15.84	-35 51 47.91	 1.220
5BZQ J0113+4948	01 13 26.99	+49 48 24.01	 0.389
5BZG J0113+0222	01 13 43.13	+02 22 17.29	 0.047
5BZQ J0113+1324	01 13 54.50	+13 24 52.48	 0.685
5BZB J0114+1325	01 14 52.77	+13 25 37.48	 0.000
5BZB J0115-3400	01 15 01.72	-34 00 27.21	 0.482
5BZQ J0115-0127	01 15 17.10	-01 27 04.60	 1.381
5BZQ J0115-2804	01 15 23.87	-28 04 55.20	 2.579
5BZB J0115+0356	01 15 40.50	+03 56 43.29	 0.000
5BZB J0115+2519	01 15 46.14	+25 19 53.39	 0.000
5BZQ J0115-3049	01 15 46.42	-30 49 19.09	 1.414
5BZQ J0116-1136	01 16 12.52	-11 36 15.40	 0.671
5BZB J0116-6153	01 16 19.61	-61 53 43.51	 0.000
5BZQ J0117+1418	01 17 25.20	+14 18 12.38	 0.839
5BZQ J0117-3357	01 17 44.59	-33 57 05.00	 0.647
5BZB J0117-2443	01 17 46.99	-24 43 33.70	 0.279
5BZQ J0117-2111	01 17 48.78	-21 11 06.68	 1.490
5BZQ J0118-2141	01 18 57.25	-21 41 30.08	 1.165
5BZB J0120-2701	01 20 31.66	-27 01 24.70	 0.000
5BZQ J0121-2806	01 21 00.73	-28 06 22.10	 3.119
5BZQ J0121+1127	01 21 28.99	+11 27 00.50	 2.487
5BZQ J0121+1149	01 21 41.56	+11 49 50.59	 0.570
5BZQ J0121+0422	01 21 56.86	+04 22 24.70	 0.637
5BZQ J0122+0310	01 22 01.91	+03 10 02.49	 4.000
5BZB J0122+1510	01 22 27.37	+15 10 23.08	 0.000
5BZQ J0122+2502	01 22 38.81	+25 02 31.81	 2.025
5BZQ J0122-0935	01 22 48.06	-09 35 47.00	 0.784
5BZB J0123+3420	01 23 08.63	+34 20 48.51	 0.272
5BZB J0123-2310	01 23 38.34	-23 10 58.58	 0.404
5BZG J0123+4210	01 23 40.49	+42 10 06.81	 0.186
5BZQ J0123+2615	01 23 43.03	+26 15 22.39	 0.849
5BZB J0124+3249	01 24 30.55	+32 49 46.30	 0.000
5BZB J0124+0918	01 24 44.52	+09 18 49.28	 0.338
5BZB J0124-0625	01 24 50.47	-06 25 00.91	 0.000
5BZQ J0124+2805	01 24 55.87	+28 05 11.40	 0.710
5BZQ J0124-5113	01 24 57.35	-51 13 16.49	 1.104
5BZQ J0125+0146	01 25 05.50	+01 46 26.90	 1.559
5BZB J0125-2549	01 25 18.83	-25 49 04.40	 0.000
5BZQ J0125-0005	01 25 28.84	-00 05 55.89	 1.077
5BZQ J0126-2222	01 26 15.00	-22 22 33.60	 0.717
5BZQ J0126+2559	01 26 42.78	+25 59 01.21	 2.358
5BZB J0126+3307	01 26 57.23	+33 07 30.28	 0.000
5BZB J0127-8108	01 27 10.20	-81 08 20.68	 0.000
5BZB J0127-0151	01 27 11.06	-01 51 53.78	 0.000
5BZB J0127-0821	01 27 16.31	-08 21 28.90	 0.360
5BZB J0127-0013	01 27 50.82	-00 13 46.59	 0.440
5BZG J0128+4901	01 28 08.05	+49 01 05.98	 0.067
5BZU J0128+4439	01 28 41.33	+44 39 18.00	 0.228
5BZQ J0130-1019	01 30 08.89	-10 19 07.71	 1.005
5BZQ J0130+0842	01 30 27.64	+08 42 46.18	 0.725
5BZB J0131+6120	01 31 07.23	+61 20 33.39	 0.000
5BZQ J0131+3834	01 31 26.70	+38 34 39.21	 1.277
5BZQ J0132-1654	01 32 43.47	-16 54 48.38	 1.020
5BZU J0133-5200	01 33 05.76	-52 00 03.88	 0.000
5BZB J0133-4414	01 33 06.36	-44 14 21.40	 0.000
5BZB J0134+2638	01 34 28.19	+26 38 42.90	 0.000
5BZQ J0134-3843	01 34 32.03	-38 43 33.38	 2.140
5BZQ J0135-2008	01 35 37.50	-20 08 45.88	 1.141
5BZQ J0136-4044	01 36 06.61	-40 44 19.89	 0.649
5BZB J0136+3905	01 36 32.58	+39 05 59.20	 0.000
5BZQ J0136+4751	01 36 58.59	+47 51 29.08	 0.859
5BZQ J0137+3122	01 37 08.72	+31 22 35.79	 1.716
5BZQ J0137-2430	01 37 38.34	-24 30 53.89	 0.835
5BZB J0137+5814	01 37 50.46	+58 14 11.29	 0.000
5BZQ J0138-2711	01 38 09.82	-27 11 27.88	 2.999
5BZB J0138-1754	01 38 11.69	-17 54 13.60	 0.530
5BZQ J0138-0540	01 38 51.84	-05 40 08.18	 2.004
5BZQ J0138-2254	01 38 57.47	-22 54 47.30	 1.895
5BZQ J0140-1532	01 40 04.43	-15 32 55.71	 0.819
5BZB J0140-0758	01 40 40.86	-07 58 49.11	 0.000
5BZB J0141-0928	01 41 25.82	-09 28 43.71	 0.730
5BZQ J0141-0202	01 41 33.78	-02 02 21.51	 1.281
5BZU J0141+3923	01 41 57.75	+39 23 29.18	 0.080
5BZB J0142-0544	01 42 38.87	-05 44 01.28	 0.000
5BZQ J0143+4129	01 43 03.17	+41 29 20.39	 0.824
5BZU J0143-3200	01 43 10.13	-32 00 56.69	 0.375
5BZQ J0143-6813	01 43 19.21	-68 13 27.19	 1.223
5BZB J0143-5845	01 43 47.41	-58 45 51.40	 0.000
5BZB J0144+2705	01 44 33.54	+27 05 03.08	 0.000
5BZQ J0145-2733	01 45 03.39	-27 33 34.30	 1.148
5BZG J0146-0551	01 46 16.20	-05 51 10.58	 0.499
5BZQ J0146-2727	01 46 40.27	-27 27 40.21	 1.732
5BZG J0146-5202	01 46 48.58	-52 02 33.50	 0.098
5BZQ J0148+3854	01 48 24.37	+38 54 05.18	 1.442
5BZG J0148+1402	01 48 29.70	+14 02 17.98	 0.125
5BZB J0148+0129	01 48 33.78	+01 29 01.28	 0.000
5BZQ J0148+4215	01 48 44.57	+42 15 19.40	 3.242
5BZQ J0149+0555	01 49 22.37	+05 55 53.61	 2.345
5BZQ J0149+1857	01 49 49.72	+18 57 20.59	 0.584
5BZQ J0151-3435	01 51 23.48	-34 35 13.88	 1.310
5BZQ J0151+2744	01 51 27.14	+27 44 41.78	 1.260
5BZQ J0152+2207	01 52 18.06	+22 07 07.71	 1.320
5BZQ J0152-1412	01 52 31.99	-14 12 39.38	 1.350
5BZQ J0152-2942	01 52 33.68	-29 42 47.91	 1.221
5BZG J0152+0147	01 52 39.59	+01 47 17.19	 0.080
5BZB J0153+7517	01 53 07.36	+75 17 42.79	 0.000
5BZQ J0153-3310	01 53 10.12	-33 10 25.89	 0.610
5BZG J0153+7115	01 53 25.85	+71 15 06.51	 0.022
5BZG J0153-0118	01 53 34.32	-01 18 08.38	 0.245
5BZB J0154+0823	01 54 02.76	+08 23 51.10	 0.000
5BZQ J0154-5107	01 54 19.64	-51 07 51.49	 1.582
5BZQ J0154-1346	01 54 29.34	-13 46 35.50	 1.010
5BZB J0154+4433	01 54 54.46	+44 33 37.90	 0.000
5BZQ J0154+4743	01 54 56.28	+47 43 26.50	 1.026
5BZQ J0155+0438	01 55 03.72	+04 38 30.30	 1.132
5BZQ J0155+2230	01 55 58.93	+22 30 11.91	 1.456
5BZB J0156-5302	01 56 58.00	-53 01 59.98	 0.000
5BZQ J0157+7442	01 57 34.96	+74 42 43.20	 2.341
5BZQ J0157-4614	01 57 51.12	-46 14 23.20	 2.287
5BZB J0158-3932	01 58 38.11	-39 32 03.80	 0.000
5BZU J0158+0101	01 58 52.77	+01 01 32.80	 0.952
5BZB J0159+1047	01 59 34.38	+10 47 05.49	 0.195
5BZB J0159-2740	01 59 43.34	-27 40 38.20	 0.000
5BZQ J0159-5143	01 59 59.79	-51 43 34.71	 2.390
5BZB J0200+2712	02 00 29.45	+27 12 37.79	 0.000
5BZB J0201+0034	02 01 06.18	+00 34 00.19	 0.298
5BZQ J0202+3943	02 02 01.66	+39 43 21.61	 0.780
5BZG J0202-0559	02 02 06.85	-05 59 00.09	 0.189
5BZQ J0202-1948	02 02 13.85	-19 48 19.51	 0.493
5BZB J0202+0849	02 02 26.40	+08 49 13.58	 0.000
5BZB J0202+4205	02 02 43.65	+42 05 16.29	 0.000
5BZB J0203+7232	02 03 33.37	+72 32 53.69	 0.000
5BZB J0203+3042	02 03 44.27	+30 42 37.79	 0.761
5BZQ J0203+1134	02 03 46.66	+11 34 45.40	 3.639
5BZG J0204+4005	02 04 05.20	+40 05 03.51	 0.007
5BZB J0204-3333	02 04 12.78	-33 33 41.11	 0.617
5BZU J0204+1514	02 04 50.40	+15 14 11.00	 0.833
5BZQ J0204-5146	02 04 50.97	-51 46 58.90	 1.420
5BZQ J0204-1701	02 04 57.66	-17 01 19.81	 1.740
5BZQ J0205+3212	02 05 04.92	+32 12 30.09	 1.466
5BZQ J0205+1444	02 05 13.12	+14 44 32.38	 2.850
5BZQ J0205+3932	02 05 13.99	+39 32 57.01	 0.454
5BZQ J0206-1150	02 06 26.08	-11 50 39.69	 1.663
5BZQ J0206-6143	02 06 40.00	-61 43 32.19	 0.732
5BZB J0207-6837	02 07 50.93	-68 37 55.20	 0.000
5BZQ J0208-6216	02 08 01.16	-62 16 35.50	 2.382
5BZB J0208-0047	02 08 26.34	-00 47 44.41	 0.000
5BZB J0208+3523	02 08 38.16	+35 23 12.91	 0.318
5BZB J0209+4449	02 09 16.90	+44 49 46.88	 0.000
5BZB J0209-5229	02 09 21.60	-52 29 22.59	 0.000
5BZQ J0209-0438	02 09 30.77	-04 38 26.08	 1.128
5BZQ J0209+1352	02 09 35.99	+13 52 00.69	 0.631
5BZU J0209+7229	02 09 51.78	+72 29 26.70	 0.895
5BZQ J0210-1003	02 10 00.20	-10 03 54.21	 1.976
5BZU J0210-5101	02 10 46.19	-51 01 01.88	 1.003
5BZB J0211+1051	02 11 13.18	+10 51 34.81	 0.000
5BZU J0211-1558	02 11 49.75	-15 58 18.91	 0.177
5BZB J0212-3503	02 12 30.51	-35 03 30.38	 0.393
5BZB J0212+2244	02 12 52.81	+22 44 52.00	 0.459
5BZB J0213+1213	02 13 05.17	+12 13 10.88	 0.000
5BZQ J0213+1820	02 13 10.52	+18 20 25.40	 1.817
5BZG J0214+5144	02 14 17.93	+51 44 52.00	 0.049
5BZQ J0215-0222	02 15 42.01	-02 22 56.78	 1.177
5BZQ J0216-0118	02 16 05.65	-01 18 03.31	 2.803
5BZQ J0216-0105	02 16 12.21	-01 05 18.81	 1.492
5BZB J0216+2314	02 16 32.09	+23 14 50.20	 0.288
5BZQ J0216-7331	02 16 44.63	-73 31 40.40	 2.679
5BZQ J0216-3247	02 16 48.18	-32 47 40.88	 1.331
