source_id,canonical_id,split
000002.46+214939.3,000002.46+214939.3,dev
000000.66+145828.8,000000.66+145828.8,dev
000026.31+242016.5,000026.31+242016.5,dev
000001.08+295225.0,000001.08+295225.0,test
000023.94+083348.0,000023.94+083348.0,dev
000059.05+282233.0,000059.05+282233.0,dev
000127.46+071911.5,000127.46+071911.5,dev
000036.73+044503.3,000036.73+044503.3,dev
000159.76+292622.0,000159.76+292622.0,test
000014.74+003203.2,000014.74+003203.2,dev
000159.89+222409.4,000159.89+222409.4,dev
000139.52+322953.1,000139.52+322953.1,dev
000005.39+212944.8,000005.39+212944.8,dev
000022.17+255005.3,000022.17+255005.3,test
000204.72-001755.0,000204.72-001755.0,dev
000151.24+084413.3,000151.24+084413.3,dev
000008.03-002727.4,000008.03-002727.4,dev
000057.15+150936.5,000057.15+150936.5,dev
000052.48-022635.5,000052.48-022635.5,dev
000124.72+334159.1,000124.72+334159.1,dev
000159.27+034352.9,000159.27+034352.9,dev
000042.92+310715.3,000042.92+310715.3,test
000123.61-032317.9,000123.61-032317.9,test
000033.71+102012.0,000033.71+102012.0,test
000202.62+085628.4,000202.62+085628.4,dev
000056.16+192036.9,000056.16+192036.9,test
000031.97+002249.9,000031.97+002249.9,dev
000017.38-085123.7,000017.38-085123.7,dev
000034.80+210108.1,000034.80+210108.1,dev
000132.22+135258.3,000132.22+135258.3,dev
000038.16+020144.5,000038.16+020144.5,dev
000203.62+183121.9,000203.62+183121.9,dev
000105.87+005341.7,000105.87+005341.7,dev
000200.32+204718.9,000200.32+204718.9,dev
000059.58+295642.5,000059.58+295642.5,test
000055.85+200708.9,000055.85+200708.9,dev
000203.11+315153.1,000203.11+315153.1,test
000057.67-085617.0,000057.67-085617.0,dev
000000.57+055630.8,000000.57+055630.8,dev
000046.17+170047.0,000046.17+170047.0,dev
000026.27+022140.8,000026.27+022140.8,dev
000130.31+013749.2,000130.31+013749.2,dev
000202.42+330824.3,000202.42+330824.3,dev
000139.32+331947.9,000139.32+331947.9,test
000130.25+053321.5,000130.25+053321.5,test
000015.56+194941.0,000015.56+194941.0,dev
000108.68+342549.2,000108.68+342549.2,dev
000116.51-031050.2,000116.51-031050.2,dev
000130.57+130847.3,000130.57+130847.3,test
000028.24+184005.3,000028.24+184005.3,dev
000018.12+013637.1,000018.12+013637.1,dev
000020.66+312202.7,000020.66+312202.7,test
000106.87+023845.9,000106.87+023845.9,dev
000155.79+102106.7,000155.79+102106.7,dev
000003.87-024228.0,000003.87-024228.0,dev
000030.64-064100.0,000030.64-064100.0,test
000045.05+011127.8,000045.05+011127.8,dev
000038.85+054847.7,000038.85+054847.7,dev
000206.48+284933.5,000206.48+284933.5,dev
000200.07+291810.7,000200.07+291810.7,test
000107.94+064643.7,000107.94+064643.7,dev
000116.62+195153.3,000116.62+195153.3,dev
000048.01+333926.9,000048.01+333926.9,test
